Unverified Manufacturers (352 total)
Generated: 2026-01-29T22:18:42.743Z

NAME	CATEGORY	COUNTRY	FILE
Fernco	plumbing	undefined	f/fernco.yaml
Fernox	hvac, plumbing	undefined	f/fernox.yaml
Fisher Manufacturing	plumbing	undefined	f/fisher-manufacturing.yaml
Fl\xE4ktGroup SEMCO	hvac	undefined	f/flaktgroup-semco.yaml
Flamco	hvac	undefined	f/flamco.yaml
Flexcon	hvac	undefined	f/flexcon.yaml
Flint & Walling (Pentair)	plumbing, pumps, water-systems	undefined	f/flint-walling.yaml
Flomatic Valves	plumbing	undefined	f/flomatic.yaml
Flotec (Pentair)	plumbing	undefined	f/flotec.yaml
Fluidmaster	plumbing	undefined	f/fluidmaster.yaml
Flushmate (Pressure-Assist Systems)	plumbing	undefined	f/flushmate.yaml
Ford Meter Box	plumbing, waterworks, valves	undefined	f/ford-meter-box.yaml
Franke	plumbing	undefined	f/franke.yaml
Fujitsu General America	hvac	undefined	f/fujitsu-general.yaml
Fulton	hvac	undefined	f/fulton.yaml
Geberit	plumbing	undefined	g/geberit.yaml
Georg Fischer (GF Piping Systems)	plumbing, piping-systems	undefined	g/georg-fischer.yaml
Gerber Plumbing Fixtures	plumbing	undefined	g/gerber.yaml
GF Piping Systems	plumbing, hydronics	undefined	g/gf-piping-systems.yaml
Giacomini	hydronics, plumbing	undefined	g/giacomini.yaml
Goulds Water Technology (Xylem)	plumbing	undefined	g/goulds-water-technology.yaml
GREE Comfort	hvac	undefined	g/gree.yaml
Greenheck (DOAS)	hvac	undefined	g/greenheck-doas.yaml
Guardian Equipment	plumbing	undefined	g/guardian-equipment.yaml
Halton	hvac	undefined	h/halton.yaml
Hammond Power Solutions	electrical	undefined	h/hammond-power-solutions.yaml
Hansgrohe USA	plumbing	undefined	h/hansgrohe.yaml
Hart & Cooley	hvac	undefined	h/hart-cooley.yaml
Heat-Timer	hvac	undefined	h/heat-timer.yaml
Heatcraft Refrigeration Products	hvac	undefined	h/heatcraft-refrigeration-products.yaml
Heatcraft Refrigeration Products	hvac	undefined	h/heatcraft-rpd.yaml
HELUKABEL USA	electrical	undefined	h/helukabel.yaml
Hitachi Cooling & Heating	hvac	undefined	h/hitachi.yaml
HL Hutterer & Lechner	plumbing, drainage	undefined	h/hl-hutterer-lechner.yaml
Hoffman Controls	hvac	undefined	h/hoffman-controls.yaml
Hoval	hvac	undefined	h/hoval.yaml
HTP (Heat Transfer Products)	hvac	undefined	h/htp.yaml
Hubbell	electrical	undefined	h/hubbell.yaml
Hurst Boiler	hvac	undefined	h/hurst-boiler.yaml
Hydro-Thermal	hvac, plumbing	undefined	h/hydro-thermal.yaml
Hydrolevel	hvac	undefined	h/hydrolevel.yaml
Hydromatic (Pentair)	plumbing, pumps, sump-sewage	undefined	h/hydromatic.yaml
International Comfort Products (ICP)	hvac	undefined	i/icp.yaml
IDEAL Industries	electrical	undefined	i/ideal-industries.yaml
ifm efector, inc.	electrical	undefined	i/ifm.yaml
ILSCO	electrical	undefined	i/ilsco.yaml
IMI Hydronic Engineering (IMI Flow Design / TA / Pneumatex)	hydronics, plumbing, hvac-controls	undefined	i/imi-hydronic-engineering.yaml
IMI Hydronic Engineering	hvac	undefined	i/imi-hydronic.yaml
Infinity Drain	plumbing, drainage	undefined	i/infinity-drain.yaml
Intermatic	electrical	undefined	i/intermatic.yaml
IPEX	plumbing	undefined	i/ipex.yaml
IPS Corp Plumbing	plumbing	undefined	i/ips-plumbing.yaml
Itron	electrical	undefined	i/itron.yaml
Jay R. Smith Mfg. Co.	plumbing	undefined	j/jay-r-smith.yaml
JM Eagle	plumbing	undefined	j/jm-eagle.yaml
Jones Stephens	plumbing	undefined	j/jones-stephens.yaml
Just Manufacturing	plumbing	undefined	j/just-manufacturing.yaml
Keeney	plumbing	undefined	k/keeney.yaml
Keystone Technologies	electrical	undefined	k/keystone-tech.yaml
Killark (Hubbell)	electrical	undefined	k/killark.yaml
Kinetico	plumbing	undefined	k/kinetico.yaml
Kohler (Plumbing)	plumbing	undefined	k/kohler-plumbing.yaml
Korky (Lavelle Industries)	plumbing	undefined	k/korky.yaml
KRAUS USA	plumbing	undefined	k/kraus.yaml
Krowne	plumbing	undefined	k/krowne.yaml
KSB	hvac	undefined	k/ksb.yaml
Laars Heating Systems	hvac	undefined	l/laars.yaml
LAPP North America	electrical	undefined	l/lapp.yaml
LASCO Fittings, Inc.	plumbing	undefined	l/lasco-fittings.yaml
LASCO Fittings	plumbing	undefined	l/lasco.yaml
LEDVANCE	electrical	undefined	l/ledvance.yaml
Legend Valve	plumbing	undefined	l/legend-valve.yaml
Legrand	electrical	undefined	l/legrand.yaml
Leonard Valve	plumbing	undefined	l/leonard-valve.yaml
Lithonia Lighting	electrical	undefined	l/lithonia-lighting.yaml
Littelfuse	electrical	undefined	l/littelfuse.yaml
Little Giant (Franklin Electric)	plumbing	undefined	l/little-giant.yaml
Loren Cook Company	airflow, hvac	undefined	l/loren-cook.yaml
Lowara	hvac	undefined	l/lowara.yaml
LG HVAC	hvac	undefined	lg/lg-hvac.yaml
Mansfield Plumbing Products	plumbing	undefined	m/mansfield-plumbing.yaml
Marvair	hvac	undefined	m/marvair.yaml
Matco-Norca	plumbing	undefined	m/matco-norca.yaml
McGuire Manufacturing	plumbing	undefined	m/mcguire-manufacturing.yaml
MEAN WELL USA	electrical	undefined	m/mean-well.yaml
Megger	electrical	undefined	m/megger.yaml
Mersen	electrical	undefined	m/mersen.yaml
Metal-Fab (Commercial Venting)	hvac	undefined	m/metal-fab.yaml
Metraflex	hvac, plumbing	undefined	m/metraflex.yaml
Midco International	hvac	undefined	m/midco-international.yaml
Midea	hvac	undefined	m/midea.yaml
MIFAB	plumbing	undefined	m/mifab.yaml
Milbank	electrical	undefined	m/milbank.yaml
Mission Rubber Company	plumbing	undefined	m/mission-rubber.yaml
Mitsubishi Electric Automation	electrical	undefined	m/mitsubishi-electric-automation.yaml
Mitsubishi Electric Trane HVAC US (METUS)	hvac	undefined	m/mitsubishi-electric-hvac.yaml
Miura America	hvac	undefined	m/miura.yaml
Modine HVAC	hvac	undefined	m/modine.yaml
Molex	electrical	undefined	m/molex.yaml
MovinCool	hvac	undefined	m/movincool.yaml
